Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
4457,450.66,200.91,1.1,25.56,0.22,80.0
4497,450.95,199.11,1.1,25.54,0.22,80.0
4477,449.66,199.97,1.1,25.56,0.22,80.0
4513,450.14,198.58,1.1,25.59,0.22,80.0
4501,449.52,199.38,1.1,25.55,0.22,80.0
4518,449.15,198.8,1.1,25.52,0.22,80.0
4509,450.2,199.05,1.1,25.58,0.22,79.99
4487,448.97,200.01,1.1,25.54,0.22,80.0
4446,450.42,200.92,1.1,25.54,0.22,80.0
4514,449.03,198.99,1.1,25.55,0.22,80.0
4493,450.35,199.23,1.1,25.54,0.22,80.0
4474,449.59,200.61,1.1,25.55,0.22,80.0
4432,451.68,201.37,1.1,25.56,0.23,80.0
4464,449.71,200.71,1.1,25.55,0.22,80.0
4455,448.58,201.5,1.1,25.57,0.22,80.0
4490,448.28,200.25,1.1,25.53,0.22,80.0
4470,451.78,199.84,1.1,25.54,0.22,79.99
4466,450.95,200.06,1.1,25.54,0.22,80.0
4466,449.21,200.63,1.1,25.52,0.22,80.0
4453,447.09,201.77,1.1,25.56,0.22,80.0
4498,448.95,199.66,1.1,25.54,0.22,80.0
4485,449.88,199.7,1.1,25.53,0.22,80.0
4505,450.44,198.77,1.1,25.56,0.22,80.0
4510,449.38,199.03,1.1,25.55,0.22,79.99
4472,450.22,200.19,1.1,25.53,0.22,79.99
4515,450.72,198.17,1.1,25.57,0.22,80.0
4460,451.85,200.14,1.1,25.56,0.22,80.0
4449,452.59,200.24,1.11,25.58,0.22,80.0
4465,449.77,200.44,1.1,25.55,0.22,80.0
4474,449.07,200.4,1.1,25.56,0.22,80.0
4495,449.43,199.75,1.1,25.58,0.22,80.0
4482,451.18,199.38,1.1,25.54,0.22,80.0
4517,450.66,198.39,1.1,25.56,0.22,80.0
4489,450.08,199.58,1.1,25.56,0.22,80.0
4443,451.78,200.77,1.1,25.54,0.23,80.0
4449,449.97,201.0,1.1,25.55,0.22,80.0
4521,448.34,198.84,1.1,25.54,0.22,80.0
4497,449.14,199.64,1.1,25.55,0.22,80.0
4507,449.13,199.18,1.1,25.56,0.22,80.0
4486,453.35,198.82,1.11,25.57,0.22,80.0
4493,450.48,199.42,1.1,25.54,0.22,80.0
