Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
8715,224.19,1953832,175.67,1530975,0.62,25.31,0.11,80.0
8734,224.29,1958912,175.4,1531981,0.62,25.32,0.11,80.0
8885,224.04,1990583,172.75,1534858,0.62,25.31,0.11,80.0
8574,227.6,1951427,176.42,1512649,0.63,25.32,0.12,79.99
8728,223.54,1951023,175.59,1532512,0.62,25.33,0.11,80.0
8731,225.08,1965179,175.05,1528371,0.63,25.32,0.11,80.0
8704,225.53,1963050,175.17,1524682,0.63,25.31,0.11,80.0
8767,225.2,1974308,173.83,1524002,0.62,25.31,0.11,80.0
8777,225.05,1975223,174.13,1528365,0.62,25.31,0.11,80.0
8805,223.33,1966411,174.69,1538103,0.62,25.31,0.11,80.0
8732,225.22,1966616,174.71,1525543,0.63,25.33,0.11,80.0
8729,222.56,1942763,176.0,1536322,0.62,25.31,0.11,80.0
8725,224.19,1956083,175.68,1532802,0.62,25.31,0.11,80.0
8706,224.12,1951170,175.77,1530228,0.62,25.32,0.11,80.0
8676,224.27,1945783,176.42,1530579,0.62,25.32,0.12,80.0
8773,224.46,1969210,174.9,1534373,0.62,25.3,0.11,80.0
8706,224.62,1955553,175.37,1526797,0.62,25.33,0.11,80.0
8684,224.36,1948317,175.69,1525701,0.62,25.29,0.12,80.0
8804,225.01,1980946,173.97,1531665,0.62,25.33,0.11,80.0
8707,225.99,1967698,174.86,1522530,0.63,25.33,0.11,80.0
8714,226.06,1969847,175.07,1525566,0.63,25.32,0.11,80.0
8779,225.26,1977523,174.6,1532801,0.63,25.31,0.11,80.0
8751,225.26,1971215,174.77,1529453,0.63,25.32,0.11,80.0
8883,223.47,1985067,173.08,1537428,0.62,25.31,0.11,80.0
8835,223.22,1972189,174.13,1538409,0.62,25.3,0.11,80.0
8733,225.9,1972777,174.48,1523703,0.63,25.32,0.11,80.0
8717,226.58,1975141,174.4,1520206,0.63,25.3,0.11,80.0
8717,225.47,1965411,174.99,1525412,0.63,25.3,0.11,80.0
8727,224.83,1962097,175.41,1530796,0.63,25.31,0.11,80.0
8722,223.98,1953562,175.69,1532350,0.62,25.29,0.11,80.0
8758,224.68,1967755,174.5,1528283,0.62,25.31,0.11,80.0
8791,225.18,1979597,173.91,1528814,0.62,25.3,0.11,80.0
8721,224.79,1960428,175.11,1527115,0.62,25.3,0.11,80.0
8700,226.01,1966276,175.14,1523683,0.63,25.31,0.11,80.0
8711,223.95,1950824,175.48,1528618,0.62,25.32,0.11,80.0
8748,224.72,1965892,174.67,1528017,0.62,25.32,0.11,80.0
8717,225.86,1968802,174.73,1523095,0.63,25.31,0.11,80.0
8749,225.23,1970518,174.34,1525318,0.62,25.32,0.11,80.0
8765,224.16,1964784,174.99,1533772,0.62,25.3,0.11,80.0
8668,226.54,1963625,174.98,1516756,0.63,25.33,0.12,80.0
8758,225.28,1972982,174.37,1527092,0.62,25.33,0.11,80.0
8798,226.21,1990210,173.43,1525811,0.63,25.31,0.11,80.0
8702,225.53,1962561,175.15,1524118,0.63,25.33,0.11,80.0
8788,225.24,1979432,173.93,1528503,0.62,25.32,0.11,80.0
8792,224.8,1976400,174.16,1531192,0.62,25.31,0.11,80.0
8714,226.24,1971487,174.52,1520793,0.63,25.3,0.11,80.0
8729,224.57,1960299,174.97,1527329,0.62,25.3,0.11,80.0
8886,224.13,1991606,172.96,1536921,0.62,25.3,0.11,80.0
8755,224.93,1969279,174.62,1528796,0.62,25.31,0.11,80.0
8649,225.72,1952254,176.01,1522331,0.63,25.32,0.12,80.0
8780,223.62,1963423,175.05,1536940,0.62,25.32,0.11,80.0
8688,226.04,1963845,175.01,1520513,0.63,25.32,0.12,80.0
8774,225.32,1976961,174.32,1529524,0.62,25.3,0.11,80.0
8702,225.59,1963045,175.17,1524334,0.63,25.32,0.11,80.0
8637,227.24,1962650,175.83,1518602,0.63,25.31,0.12,80.0
8748,225.82,1975508,174.31,1524888,0.63,25.31,0.11,80.0
8729,225.03,1964301,174.84,1526160,0.62,25.31,0.11,80.0
8706,224.48,1954324,175.42,1527211,0.62,25.31,0.11,80.0
8630,226.1,1951259,176.06,1519422,0.63,25.3,0.12,80.0
8737,225.01,1965916,174.92,1528287,0.62,25.31,0.11,80.0
8841,225.59,1994454,172.67,1526615,0.62,25.32,0.11,80.0
8646,226.33,1956888,176.15,1523006,0.63,25.32,0.12,80.0
8640,227.29,1963787,175.24,1514074,0.63,25.32,0.12,80.0
8619,227.05,1956956,175.73,1514657,0.63,25.32,0.12,80.0
8721,223.93,1952876,175.63,1531643,0.62,25.32,0.11,80.0
8743,223.91,1957684,175.01,1530123,0.62,25.31,0.11,80.0
8733,225.76,1971557,174.51,1523973,0.63,25.32,0.11,80.0
8747,226.35,1979901,174.29,1524553,0.63,25.33,0.11,80.0
8801,224.47,1975553,174.02,1531538,0.62,25.32,0.11,80.0
